"id","school_year","district_name","enrollment_grades_k_12","total_susp","iss_b","oss_b","iss_w","oss_w","h","a","m","p","i","b_disp","w_disp","h_disp","a_disp","m_disp","p_disp","i_disp"
"59",2008,"LONEDELL R-XIV",367,146,12,,134,,,,,,,2.15726458850178,0.967947921512426,,,,,
"60",2008,"SULLIVAN",2157,743,,,625,111,7,,,,,,1.01942856319716,0.547747973332499,,,,
"61",2008,"WASHINGTON",4082,1564,28,,1193,343,,,,,,1.32613431846168,1.01951332575601,,,,,
"62",2008,"GASCONADE CO. R-II",1982,604,,,531,73,,,,,,,1.01224820325944,,,,,
"63",2008,"GASCONADE CO. R-I",1080,204,,,157,47,,,,,,,1.02270402945388,,,,,
"64",2008,"ALBANY R-III",464,166,10,,142,14,,,,,,3.98946780499481,0.962571992363596,,,,,
"65",2008,"REPUBLIC R-III",3901,222,,,152,70,,,,,,,1.04329681794471,,,,,
"66",2008,"ASH GROVE R-IV",842,31,,,31,,,,,,,,1.02186797465767,,,,,
"67",2008,"STRAFFORD R-VI",1201,224,,,204,20,,,,,,,1.02732689541812,,,,,
"68",2008,"LOGAN-ROGERSVILLE R-VIII",2069,272,,,188,84,,,,,,,1.04340567612688,,,,,
"69",2008,"SPRINGFIELD R-XII",23802,14205,1429,447,8741,2778,540,192,,,78,1.82664140916232,0.93986051324429,1.14158509089871,0.536363788739713,,,0.871591156702033
"70",2008,"NORTH HARRISON R-III",218,18,,,18,,,,,,,,1.00462125778581,,,,,
"71",2008,"HENRY CO. R-I",699,111,,,111,,,,,,,,1.01450745662981,,,,,
"72",2008,"CALHOUN R-VIII",151,69,,,69,,,,,,,,1.07089312486614,,,,,
"73",2008,"HERMITAGE R-IV",289,79,,,79,,,,,,,,1,,,,,
"74",2008,"MOUND CITY R-II",275,9,,,9,,,,,,,,1.02997219075085,,,,,
"75",2008,"WEST PLAINS R-VII",2508,1035,,,998,27,10,,,,,,1.03961596079279,0.441179714556725,,,,
"76",2008,"ARCADIA VALLEY R-II",1120,158,,,150,8,,,,,,,1.03316458311809,,,,,
"77",2008,"FORT OSAGE R-I",4838,838,43,,561,210,24,,,,,0.781014446950956,1.0888138848484,0.528406238716325,,,,
"78",2008,"BLUE SPRINGS R-IV",13734,3344,746,153,1866,443,136,,,,,2.55551057907472,0.843501625484986,0.858013849352956,,,,
"79",2008,"GRAIN VALLEY R-V",2972,625,6,,466,146,,7,,,,0.406779661016949,1.05631067961165,,1.57746478873239,,,
"80",2008,"RAYTOWN C-2",8720,7474,3594,1538,1543,472,317,10,,,,1.60619191364371,0.560385126694595,0.629283395097068,0.0686139300000686,,,
"81",2008,"LONE JACK C-6",547,60,,,60,,,,,,,,1.06416941577099,,,,,
"82",2008,"INDEPENDENCE 30",10707,4091,439,231,1930,1144,270,53,,,24,1.72031657933278,0.961491393885709,0.790401597196709,0.389047076898458,,,0.902544046029746
"83",2008,"KANSAS CITY 33",22479,17015,4574,9304,749,950,1438,,,,,1.313419105904,0.687693325205681,0.399025799876075,,,,
"84",2008,"UNIVERSITY ACADEMY",1131,677,430,247,,,,,,,,1.08026358431457,,,,,,
"85",2008,"B. BANNEKER ACADEMY",176,967,819,136,12,,,,,,,1.01052950582144,,,,,,
"86",2008,"DELLA LAMB ELEM.",463,368,174,163,,,15,16,,,,1.31669427687307,,0.3311199802211,0.283615530786466,,,
"87",2008,"GORDON PARKS ELEM",219,67,27,40,,,,,,,,1.17109731818714,,,,,,
"88",2008,"DERRICK THOMAS ACADEMY",902,623,70,553,,,,,,,,1.10265740434447,,,,,,
"89",2008,"IMAGINE REN ACAD ENV SCI & MA",675,517,23,494,,,,,,,,1.12879557512135,,,,,,
"90",2008,"CARL JUNCTION R-I",3220,846,,,743,103,,,,,,,1.05507491031863,,,,,
"91",2008,"CARTHAGE R-IX",4036,581,15,,434,12,120,,,,,1.02045675644418,1.03861723252288,0.936691371901601,,,,
"92",2008,"NORTHWEST R-I",6886,1515,,,750,765,,,,,,,1.02343670044008,,,,,
"93",2008,"GRANDVIEW R-II",829,89,,,56,33,,,,,,,1.01595042161942,,,,,
"94",2008,"HILLSBORO R-III",3691,23,,,10,13,,,,,,,1.02438024994878,,,,,
"95",2008,"FESTUS R-VI",3103,427,14,6,305,102,,,,,,1.04550016728003,1.0157305972995,,,,,
"96",2008,"JEFFERSON CO. R-VII",691,21,,,21,,,,,,,,1.01770812131081,,,,,
"97",2008,"WINDSOR C-1",3017,1254,10,,1059,185,,,,,,0.705706341477184,1.01798411322864,,,,,
"98",2008,"FOX C-6",11664,2747,7,,2469,251,14,6,,,,0.174536605312894,1.03121338860738,0.37474035846592,0.222877647600722,,,
"99",2008,"CRYSTAL CITY 47",718,57,,,57,,,,,,,,1.15061557933494,,,,,
"100",2008,"DESOTO 73",2879,3061,10,,2611,420,,20,,,,0.302491318499159,1.01778115045804,,0.895042805422169,,,
"101",2008,"HOLDEN R-III",1478,579,,,501,58,20,,,,,,1.00484771613753,2.6776987856636,,,,
